primitive_family,source_file,family_class
HelpTip,frontend/src/components/ui/HelpTip.jsx,ui_primitive
PortalStates,frontend/src/components/ui/PortalStates.jsx,ui_primitive
accordion,frontend/src/components/ui/accordion.jsx,ui_primitive
alert-dialog,frontend/src/components/ui/alert-dialog.jsx,ui_primitive
alert,frontend/src/components/ui/alert.jsx,ui_primitive
aspect-ratio,frontend/src/components/ui/aspect-ratio.jsx,ui_primitive
avatar,frontend/src/components/ui/avatar.jsx,ui_primitive
badge,frontend/src/components/ui/badge.jsx,ui_primitive
breadcrumb,frontend/src/components/ui/breadcrumb.jsx,ui_primitive
button,frontend/src/components/ui/button.jsx,ui_primitive
calendar,frontend/src/components/ui/calendar.jsx,ui_primitive
card,frontend/src/components/ui/card.jsx,ui_primitive
carousel,frontend/src/components/ui/carousel.jsx,ui_primitive
checkbox,frontend/src/components/ui/checkbox.jsx,ui_primitive
collapsible,frontend/src/components/ui/collapsible.jsx,ui_primitive
command,frontend/src/components/ui/command.jsx,ui_primitive
context-menu,frontend/src/components/ui/context-menu.jsx,ui_primitive
dialog,frontend/src/components/ui/dialog.jsx,ui_primitive
drawer,frontend/src/components/ui/drawer.jsx,ui_primitive
dropdown-menu,frontend/src/components/ui/dropdown-menu.jsx,ui_primitive
form,frontend/src/components/ui/form.jsx,ui_primitive
hover-card,frontend/src/components/ui/hover-card.jsx,ui_primitive
input-otp,frontend/src/components/ui/input-otp.jsx,ui_primitive
input,frontend/src/components/ui/input.jsx,ui_primitive
label,frontend/src/components/ui/label.jsx,ui_primitive
menubar,frontend/src/components/ui/menubar.jsx,ui_primitive
navigation-menu,frontend/src/components/ui/navigation-menu.jsx,ui_primitive
pagination,frontend/src/components/ui/pagination.jsx,ui_primitive
popover,frontend/src/components/ui/popover.jsx,ui_primitive
progress,frontend/src/components/ui/progress.jsx,ui_primitive
radio-group,frontend/src/components/ui/radio-group.jsx,ui_primitive
resizable,frontend/src/components/ui/resizable.jsx,ui_primitive
scroll-area,frontend/src/components/ui/scroll-area.jsx,ui_primitive
select,frontend/src/components/ui/select.jsx,ui_primitive
separator,frontend/src/components/ui/separator.jsx,ui_primitive
sheet,frontend/src/components/ui/sheet.jsx,ui_primitive
skeleton,frontend/src/components/ui/skeleton.jsx,ui_primitive
slider,frontend/src/components/ui/slider.jsx,ui_primitive
sonner,frontend/src/components/ui/sonner.jsx,ui_primitive
switch,frontend/src/components/ui/switch.jsx,ui_primitive
table,frontend/src/components/ui/table.jsx,ui_primitive
tabs,frontend/src/components/ui/tabs.jsx,ui_primitive
textarea,frontend/src/components/ui/textarea.jsx,ui_primitive
toast,frontend/src/components/ui/toast.jsx,ui_primitive
toaster,frontend/src/components/ui/toaster.jsx,ui_primitive
toggle-group,frontend/src/components/ui/toggle-group.jsx,ui_primitive
toggle,frontend/src/components/ui/toggle.jsx,ui_primitive
tooltip,frontend/src/components/ui/tooltip.jsx,ui_primitive
CanonicalHeader,frontend/src/components/CanonicalHeader.jsx,governed_wrapper
FormShell,frontend/src/components/FormShell.jsx,governed_wrapper
PortalShell,frontend/src/design-system/PortalShell.jsx,governed_wrapper
PortalLoginShell,frontend/src/components/PortalLoginShell.jsx,governed_wrapper
AdminRouteShell,frontend/src/components/admin/AdminRouteShell.jsx,governed_wrapper
LangToggle,frontend/src/components/LangToggle.jsx,governed_wrapper
AppIcon,frontend/src/components/icons/AppIcon.jsx,governed_wrapper
OperationalPageFrame,frontend/src/components/public/OperationalPageFrame.jsx,governed_wrapper
OperationalOutcomeFrame,frontend/src/components/public/OperationalOutcomeFrame.jsx,governed_wrapper
DetailPageHero,frontend/src/components/detail/DetailPageHero.jsx,governed_wrapper
EmptyState,frontend/src/design-system/EmptyState.jsx,governed_wrapper
StatusChip,frontend/src/design-system/StatusChip.jsx,governed_wrapper
SignaturePad,frontend/src/components/SignaturePad.jsx,governed_wrapper
PhotoUpload,frontend/src/components/PhotoUpload.jsx,governed_wrapper
AttachmentUpload,frontend/src/components/AttachmentUpload.jsx,governed_wrapper
JobPicker,frontend/src/components/JobPicker.jsx,governed_wrapper
