file,method,path,gate,category
admin_digest_config,POST,/send-now,require_admin,ADMIN
admin_ops,GET,/system-health,require_admin,ADMIN
admin_ops,GET,/system-health/recent,require_admin,ADMIN
admin_ops,GET,/audit-log,require_admin,ADMIN
admin_ops,GET,/search,require_admin,ADMIN
admin_ops,GET,/deploy-recovery,require_admin,ADMIN
admin_ops,GET,/lookup,require_admin,ADMIN
asset_transfers,GET,/api/asset-transfers,require_any_portal_token,ANY_PORTAL
asset_transfers,GET,/api/asset-transfers/{tid},require_any_portal_token,ANY_PORTAL
asset_transfers,POST,/api/asset-transfers,require_any_portal_token,ANY_PORTAL
asset_transfers,POST,/api/asset-transfers/{tid}/approve,require_any_portal_token,ANY_PORTAL
asset_transfers,POST,/api/asset-transfers/{tid}/reject,require_any_portal_token,ANY_PORTAL
asset_transfers,POST,/api/asset-transfers/{tid}/in-transit,require_any_portal_token,ANY_PORTAL
asset_transfers,POST,/api/asset-transfers/{tid}/receive,require_any_portal_token,ANY_PORTAL
asset_transfers,POST,/api/asset-transfers/{tid}/cancel,require_any_portal_token,ANY_PORTAL
asset_transfers,POST,/api/asset-transfers/{tid}/close,require_any_portal_token,ANY_PORTAL
auth_directory_routes,POST,/api/auth/multi-login,require_admin_strict_dep,ADMIN_STRICT
auth_directory_routes,POST,/api/auth/multi-logout,require_admin_strict_dep,ADMIN_STRICT
auth_directory_routes,GET,/api/auth/me-directory,require_admin_strict_dep,ADMIN_STRICT
auth_directory_routes,POST,/api/auth/issue-portal-token,require_admin_strict_dep,ADMIN_STRICT
auth_directory_routes,POST,/api/auth/change-master-password,require_admin_strict_dep,ADMIN_STRICT
auth_directory_routes,GET,/api/admin/directory,require_admin_strict_dep,ADMIN_STRICT
auth_directory_routes,POST,/api/admin/directory,require_admin_strict_dep,ADMIN_STRICT
auth_directory_routes,GET,/api/admin/audit,require_admin_strict_dep,ADMIN_STRICT
backup_verification_routes,GET,/preview,require_admin_strict_dep,ADMIN_STRICT
backup_verification_routes,POST,/run-now,require_admin_strict_dep,ADMIN_STRICT
backup_verification_routes,GET,/state,require_admin_strict_dep,ADMIN_STRICT
date_audit,POST,/apply,require_admin_strict,ADMIN_STRICT
deploy_readiness,GET,/deploy-readiness,require_admin,ADMIN
dispatch_portal_auth,POST,/dispatch/login,require_admin,ADMIN
dispatch_portal_auth,GET,/dispatch/me,require_dispatch_token,DISPATCH
dispatch_portal_auth,POST,/dispatch/change-password,require_dispatch_token,DISPATCH
dispatch_portal_auth,POST,/dispatch/forgot-password,require_admin,ADMIN
dispatch_portal_auth,POST,/dispatch/reset-password,require_admin,ADMIN
dispatch_portal_auth,GET,/admin/dispatch-users,require_admin,ADMIN
dispatch_portal_auth,POST,/admin/dispatch-users,require_admin,ADMIN
dispatch_portal_auth,PATCH,/admin/dispatch-users/{user_id},require_admin,ADMIN
dispatch_portal_auth,POST,/admin/dispatch-users/{user_id}/reset-password,require_admin,ADMIN
dispatch_portal_auth,POST,/admin/dispatch-users/{user_id}/impersonate,require_admin,ADMIN
dispatch_portal_auth,DELETE,/admin/dispatch-users/{user_id},require_admin,ADMIN
document_expirations,GET,/api/document-expirations,require_any_portal_token,ANY_PORTAL
document_expirations,GET,/api/document-expirations/summary,require_any_portal_token,ANY_PORTAL
document_expirations,POST,/api/document-expirations,require_any_portal_token,ANY_PORTAL
document_expirations,PATCH,/api/document-expirations/{doc_id},require_any_portal_token,ANY_PORTAL
document_expirations,DELETE,/api/document-expirations/{doc_id},require_any_portal_token,ANY_PORTAL
document_expirations,POST,/api/admin/document-expirations/scan,require_admin,ADMIN
document_expirations,GET,/api/admin/document-expirations/scan/preview,require_admin,ADMIN
employee_lifecycle,GET,/api/hr/employees,require_hr_or_admin,HR+ADMIN
employee_lifecycle,POST,/api/hr/employees,require_hr_or_admin,HR+ADMIN
employee_lifecycle,PATCH,/api/hr/employees/{employee_id},require_hr_or_admin,HR+ADMIN
employee_lifecycle,POST,/api/hr/employees/{employee_id}/status,require_hr_or_admin,HR+ADMIN
employee_lifecycle,POST,/api/hr/employees/{employee_id}/reactivate,require_hr_or_admin,HR+ADMIN
employee_lifecycle,GET,/api/hr/employees/{employee_id}/offboarding-summary,require_hr_or_admin,HR+ADMIN
employee_lifecycle,GET,/api/hr/driver-qualification/dashboard,require_hr_or_admin,HR+ADMIN
employee_lifecycle,GET,/api/hr/driver-qualification/dashboard.csv,require_hr_or_admin,HR+ADMIN
employee_lifecycle,POST,/api/hr/driver-qualification/import/preview,require_hr_or_admin,HR+ADMIN
employee_lifecycle,POST,/api/hr/driver-qualification/import/apply,require_hr_or_admin,HR+ADMIN
employee_lifecycle,GET,/api/hr/driver-qualification/import/audit,require_hr_or_admin,HR+ADMIN
employee_lifecycle,GET,/api/hr/driver-qualification/import/audit/{audit_id},require_hr_or_admin,HR+ADMIN
field_leadership,POST,/login,(unknown),UNKNOWN
field_leadership,GET,/check,(unknown),UNKNOWN
field_leadership,GET,/jobs,(unknown),UNKNOWN
field_leadership,GET,/employees,(unknown),UNKNOWN
field_leadership,POST,/employees,(unknown),UNKNOWN
field_leadership,GET,/equipment-catalog,(unknown),UNKNOWN
field_leadership,GET,/equipment-makes,(unknown),UNKNOWN
field_leadership,GET,/equipment-checkout-lookup,(unknown),UNKNOWN
field_leadership,GET,/{rec_id},(unknown),UNKNOWN
field_leadership,GET,/{rec_id}/pdf,(unknown),UNKNOWN
field_leadership,DELETE,/{rec_id},require_admin,ADMIN
field_leadership,GET,/export/csv,(unknown),UNKNOWN
field_leadership,GET,/admin/equipment-catalog,require_admin,ADMIN
field_leadership,POST,/admin/equipment-catalog,require_admin,ADMIN
field_leadership,PATCH,/admin/equipment-catalog/{item_id},require_admin,ADMIN
field_leadership,DELETE,/admin/equipment-catalog/{item_id},require_admin,ADMIN
field_leadership,GET,/admin/equipment-makes,require_admin,ADMIN
field_leadership,POST,/admin/equipment-makes,require_admin,ADMIN
field_leadership,PATCH,/admin/equipment-makes/{item_id},require_admin,ADMIN
field_leadership,DELETE,/admin/equipment-makes/{item_id},require_admin,ADMIN
field_leadership,GET,/admin/equipment-checkout-export.csv,require_admin,ADMIN
field_leadership_portal,POST,/field-leadership/portal/login,require_hr_or_admin,HR+ADMIN
field_leadership_portal,POST,/field-leadership/portal/change-password,require_fl_user,FIELD_LEADERSHIP
field_leadership_portal,POST,/field-leadership/portal/forgot-password,require_hr_or_admin,HR+ADMIN
field_leadership_portal,POST,/field-leadership/portal/reset/{token},require_fl_user,FIELD_LEADERSHIP
field_leadership_portal,GET,/field-leadership/portal/me,require_fl_user,FIELD_LEADERSHIP
field_leadership_portal,GET,/field-leadership/portal/dispatch-today,require_fl_user,FIELD_LEADERSHIP
field_leadership_portal,GET,/field-leadership/portal/driver-qualification,require_fl_user,FIELD_LEADERSHIP
fire_ext_bulk_import,GET,/template,require_safety_token,SAFETY
fire_ext_bulk_import,POST,/preview,require_safety_token,SAFETY
fire_ext_bulk_import,POST,/commit,require_safety_token,SAFETY
fire_ext_bulk_import,GET,/history,require_safety_token,SAFETY
fleet_ops,GET,/api/fleet/_meta,require_signed_in_or_public,SIGNED_OR_PUBLIC
fleet_ops,GET,/api/fleet/units,require_signed_in_or_public,SIGNED_OR_PUBLIC
fleet_ops,POST,/api/fleet/inspections,require_signed_in_or_public,SIGNED_OR_PUBLIC
fleet_ops,GET,/api/dispatch/fleet/status,require_dispatch_or_admin,DISPATCH+ADMIN
fleet_ops,GET,/api/shop/fleet/defects,require_shop_or_admin,SHOP+ADMIN
fleet_ops,GET,/api/safety/fleet/emergency-equipment,require_safety_or_admin,SAFETY+ADMIN
fleet_ops,POST,/api/shop/fleet/defects/{defect_id}/acknowledge,require_shop_or_admin,SHOP+ADMIN
fleet_ops,POST,/api/shop/fleet/defects/{defect_id}/repair,require_shop_or_admin,SHOP+ADMIN
fleet_ops,POST,/api/dispatch/fleet/defects/{defect_id}/clear,require_dispatch_or_admin,DISPATCH+ADMIN
fleet_ops,POST,/api/dispatch/fleet/units/{unit_number}/oos,require_dispatch_or_admin,DISPATCH+ADMIN
fleet_ops,GET,/api/fleet/inspections/{inspection_id},require_dispatch_or_admin,DISPATCH+ADMIN
fleet_ops,GET,/api/fleet/defects/{defect_id},require_dispatch_or_admin,DISPATCH+ADMIN
fleet_ops,GET,/api/fleet/defects/{defect_id}/detail,(unknown),UNKNOWN
fleet_ops,POST,/api/admin/fleet/migrate-kind-field,require_admin_strict,ADMIN_STRICT
fleet_ops,GET,/api/admin/fleet/severity-audit,require_admin_strict,ADMIN_STRICT
fleet_ops,GET,/api/admin/fleet/severity-reference-card.pdf,require_admin_strict,ADMIN_STRICT
fleet_ops,GET,/api/shop/fleet/by-unit,(unknown),UNKNOWN
global_search,GET,/api/search,require_any_portal_token,ANY_PORTAL
hr_portal,POST,/hr/login,require_admin_dep,ADMIN
hr_portal,POST,/hr/change-password,require_hr_user,HR
hr_portal,POST,/hr/forgot-password,require_admin_dep,ADMIN
hr_portal,POST,/hr/reset/{token},require_hr_user,HR
hr_portal,GET,/hr/me,require_hr_user,HR
hr_portal,GET,/hr/field-leadership,require_hr_user,HR
hr_portal,GET,/hr/field-leadership/{record_id},require_hr_user,HR
hr_portal,GET,/hr/field-leadership/{record_id}/pdf,require_hr_user,HR
hr_portal,GET,/hr/daily-reports,require_hr_user,HR
hr_portal,GET,/hr/daily-reports/{report_id},require_hr_user,HR
hr_portal,GET,/hr/employee-accountability,require_hr_user,HR
hr_portal,GET,/hr/time-verification,require_hr_user,HR
hr_portal,GET,/hr/time-verification.csv,require_hr_user,HR
