method,path,file,fn,auth,collections
GET,/projects,projects.py,list_projects,,project_members|projects
GET,/projects/{project_id},projects.py,get_project,,project_members|projects|users
GET,/projects/{project_id}/members,projects.py,list_members,require_admin_or_owner,project_members|projects|users
POST,/projects/{project_id}/members,projects.py,add_member,require_admin_or_owner,project_members|projects|users
DELETE,/projects/{project_id}/members/{user_id},projects.py,remove_member,require_admin_or_owner,project_members|projects
GET,/projects/{project_id}/scorecard,projects.py,project_scorecard,,project_members|projects
POST,/auth/login,auth.py,login,,users
POST,/auth/logout,auth.py,logout,,users
GET,/auth/me,auth.py,me,,users
POST,/auth/change-password,auth.py,change_password,,users
POST,/auth/refresh,auth.py,refresh_access_token,require_admin_or_owner,users
GET,/users,auth.py,list_users,require_admin_or_owner,users
POST,/users,auth.py,create_user,require_admin_or_owner,users
PUT,/users/{user_id},auth.py,update_user,require_admin_or_owner,users
POST,/users/{user_id}/reset-password,auth.py,admin_reset_password,require_admin_or_owner,users
DELETE,/users/{user_id},auth.py,deactivate_user,require_admin_or_owner,users
GET,/admin/guidance/coverage,server.py,admin_guidance_coverage,require_admin_strict,
GET,/admin/guidance/workflow-coverage,server.py,admin_guidance_workflow_coverage,require_admin_strict,
GET,/health/full,server.py,api_health_full,,backup_health|command
GET,/version,server.py,api_version,,
POST,/dev/login,server.py,dev_login,require_dev,
GET,/dev/check,server.py,dev_check,require_admin|require_dev,
GET,/dev/ops-manual.pdf,server.py,dev_ops_manual_pdf,require_admin|require_dev,
GET,/dev/ops-manual.docx,server.py,dev_ops_manual_docx,require_admin|require_dev,
GET,/admin/ops-manual.pdf,server.py,admin_ops_manual_pdf,require_admin|require_dev,
GET,/admin/ops-manual.docx,server.py,admin_ops_manual_docx,require_admin|require_dev,ops_manual_snapshots
POST,/dev/ops-manual/snapshot,server.py,dev_ops_manual_snapshot,require_dev,ops_manual_snapsho|ops_manual_snapshots
GET,/dev/ops-manual/snapshots,server.py,dev_ops_manual_list_snapshots,require_dev,ops_manual_snapshots
DELETE,/dev/ops-manual/snapshots/{snap_id},server.py,dev_ops_manual_delete_snapshot,require_dev,ops_manual_snapshots
GET,/dev/ops-manual/snapshots/{snap_id}.pdf,server.py,dev_ops_manual_snapshot_pdf,require_dev,ops_manual_snapshots
GET,/dev/ops-manual/snapshots/{snap_id}.docx,server.py,dev_ops_manual_snapshot_docx,require_dev,ops_manual_snapshots
GET,/dev/source-bundle.zip,server.py,dev_source_bundle,require_dev,
GET,/dev/source-bundle.info,server.py,dev_source_bundle_info,require_dev,
GET,/admin/employees/export,server.py,export_employees,require_admin,employees|equipment_master|suppliers
GET,/admin/suppliers/export,server.py,export_suppliers,require_admin,equipment_master|equipment_units|suppliers
GET,/admin/equipment-master/export,server.py,export_equipment_master,require_admin,equipment_master|equipment_units
GET,/admin/equipment-parts/export,server.py,export_equipment_parts,require_admin,equipment_units
GET,/admin/jobs/export,server.py,export_jobs,require_admin,
POST,/admin/login,server.py,admin_login,require_admin,audit_events
GET,/admin/check,server.py,admin_check,require_admin,audit_events
POST,/admin/logout,server.py,admin_logout,require_admin,audit_events
POST,/admin/auth/verify-password,server.py,admin_verify_password,require_admin,
GET,/admin/submit-language-stats,server.py,admin_submit_language_stats,require_admin,
POST,/calculators/save,server.py,save_calculator_run,require_admin,calculator_runs
GET,/admin/calculators/stats,server.py,admin_calculator_stats,require_admin,calculator_runs
GET,/admin/calculators/export.csv,server.py,admin_calculator_export_csv,require_admin,calculator_runs
POST,/shop/login,server.py,shop_login,,
GET,/shop/check,server.py,shop_check,require_shop_or_admin,
GET,/shop/me,server.py,shop_me,require_shop_or_admin,
POST,/shop/change-password,server.py,shop_change_password,require_shop_or_admin,
POST,/shop/forgot-password,server.py,shop_forgot_password,,
POST,/shop/reset-password,server.py,shop_reset_password,,
GET,/job-hazard-plans,server.py,list_job_hazard_plans,require_admin,job_hazard_plans
GET,/job-hazard-plans/{project_number}/file,server.py,download_job_hazard_plan,require_admin,job_hazard_plans
POST,/job-hazard-plans,server.py,upload_job_hazard_plan,require_admin,job_hazard_plans
DELETE,/job-hazard-plans/{project_number},server.py,delete_job_hazard_plan,require_admin,job_hazard_plans
GET,/job-hazard-files,server.py,list_all_jha_files,require_admin,
GET,/job-hazard-files/public/grouped,server.py,list_all_jha_files_public,require_admin,
GET,/job-hazard-files/by-project/{project_number},server.py,list_jha_files_for_project,require_admin,
POST,/job-hazard-files,server.py,upload_jha_file,require_admin,
GET,/job-hazard-files/{file_id}/download,server.py,download_jha_file,require_admin,
DELETE,/job-hazard-files/{file_id},server.py,delete_jha_file,require_admin,
GET,/trench-box-files,server.py,list_trench_box_files_grouped,require_admin,
GET,/trench-box-files/by-box/{box_id},server.py,list_trench_box_files_for_box,require_admin,
POST,/trench-box-files,server.py,upload_trench_box_file,require_admin,
DELETE,/trench-box-files/{file_id},server.py,delete_trench_box_file,require_admin,
GET,/trench-boxes,server.py,list_trench_boxes,,trench_boxes
GET,/trench-boxes/{box_id},server.py,get_trench_box,require_admin,trench_boxes
GET,/trench-boxes/{box_id}/file,server.py,download_trench_box_file,require_admin,trench_boxes
POST,/trench-boxes,server.py,create_trench_box,require_admin,trench_boxes
