path,component,auth_wrapper
/,Hub,
/safety,SafetySection,
/safety/forms/login,SafetyFormsLogin,
/safety/forms,SafetyFormsHub,
/safety/forms/equipment-issuance/new,NewSafetyEquipmentIssuance,
/safety/forms/equipment-issuance/:id,ViewSafetyForm,
/safety/forms/equipment-issuance/:id/return,ReturnEquipment,
/safety/forms/equipment-training/new,NewSafetyEquipmentTraining,
/safety/forms/equipment-training/:id,ViewSafetyForm,
/safety/cards,FieldSafetyCards,
/field,FieldSection,
/field/calculators,MaterialCalculators,
/qaqc,QaqcSection,
/qa-qc,Navigate,
/qaqc/:slug/new,NewQaqcInspection,
/qaqc/:id,ViewQaqcInspection,
/admin/qaqc,AdminQaqcList,
/admin/photos,JobPhotosLibrary,A
/constraints,Constraints,
/constraints/new,NewConstraint,
/constraints/:id,ConstraintDetail,
/leadership,FieldLeadershipHub,
/leadership/records,FieldLeadershipRecords,
/leadership/records/:id,FieldLeadershipView,
/leadership/:kind/new,FieldLeadershipFormPage,
/safety/inspections/new,NewInspection,SF
/inspect/new,InspectionLegacyRedirect,
/submit,InspectionLegacyRedirect,
/inspections/submit,InspectionLegacyRedirect,
/inspections/new,InspectionLegacyRedirect,
/meetings/new,NewMeeting,
/meetings/submit,NewMeeting,
/jha,JhaPlansHub,
/jha/submit,Navigate,
/jha/new,Navigate,
/trench-boxes,TrenchBoxes,
/incidents/new,NewIncident,
/incidents/submit,NewIncident,
/daily/new,NewDailyReport,
/daily/submit,NewDailyReport,
/equipment/new,NewEquipmentInspection,
/equipment/submit,NewEquipmentInspection,
/equipment/:id,RedirectWithId,
/fleet/dvir/new,NewFleetDVIR,
/fleet/dvir/submit,NewFleetDVIR,
/fleet/weekly-lead/new,NewFleetDVIR,
/fleet/weekly-emergency/new,NewFleetDVIR,
/fleet/dvir/submitted/:id,FleetDVIRConfirmation,
/thank-you,ThankYou,
/cheatsheet,PosterErrorBoundary,
/cheat-sheet,Navigate,
/reports/daily/new,Navigate,
/safety/jha,Navigate,
/safety/trench-boxes,Navigate,
/app/*,Navigate,
/admin/login,AdminLogin,
/admin,AdminHub,A
/admin/people,AdminPeople,A
/admin/mfa,AdminMfa,A
/admin/promo-assets,AdminPromoAssets,A
/admin/jobs,AdminJobs,A
/admin/equipment,AdminEquipment,A
/admin/email,AdminEmail,A
/admin/training,AdminTraining,A
/admin/compliance,AdminCompliance,A
/admin/system,AdminSystem,A
/admin/database,AdminDatabase,A
/admin/integrations,AdminIntegrationCenter,A
/admin/dispatch,AdminDispatch,A
/admin/dls/shift-qr,AdminDlsShiftQR,A
/admin/dls/day-1-debrief,AdminDlsDay1Debrief,A
/admin/dls/week-1-debrief,AdminDlsDay1Debrief,A
/admin/profile,AdminProfile,A
/admin/operations-events,AdminOperationsEvents,A
/admin/digest-config,AdminDigestConfig,A
/admin/system-health,SystemHealth,A
/admin/audit-log,AdminAuditLog,A
/admin/legacy-imports,AdminLegacyImports,A
/admin/sessions,AdminSessions,A
/admin/guidance-coverage,AdminGuidanceCoverage,A
/admin/operational-inventory,AdminOperationalInventory,A
/notifications,NotificationsDigest,
/admin/governance,AdminGovernance,A
/admin/governance/self-protection,SelfProtection,A
/admin/compliance-findings,AdminComplianceFindings,A
/admin/operational-language,AdminOperationalLanguage,A
/guidance,OperationalGuidanceCenter,
/guidance/section/:sectionId,OperationalGuidanceCenter,
/guidance/:articleId,OperationalGuidanceCenter,
/admin/deploy-recovery,DeployRecovery,A
/admin/assets/:assetId,AssetProfile,A
/admin/equipment/:id/history,AdminMasterHistory,A
/admin/employees/:id/history,AdminMasterHistory,A
/admin/analytics,AdminAnalytics,A
/admin/leadership-equipment,AdminLeadershipEquipment,A
/admin/terminations,AdminTerminations,A
/admin/guide,AdminGuide,A
/admin/pnl,ProjectPnlPage,AP
/admin/inspections,Dashboard,AP
/admin/inspections/:id,ViewInspection,APS
/admin/meetings,MeetingsDashboard,AP
/admin/meetings/:id,ViewMeeting,APS
/admin/jha-plans,JhaPlansAdmin,AP
/admin/jha,Navigate,
/admin/jha/:id,Navigate,
/admin/trench-boxes,TrenchBoxesAdmin,AP
/admin/trench-boxes/poster,PosterErrorBoundary,AP
/admin/jha-plans/poster,PosterErrorBoundary,AP
/admin/posters/print-all,PosterErrorBoundary,AP
/admin/incidents,IncidentsDashboard,AP
/admin/incidents/:id,ViewIncident,APS
/admin/daily,DailyReportsDashboard,AP
/admin/daily/:id,ViewDailyReport,AP
/admin/equipment-inspections,EquipmentDashboard,AP
/admin/equipment/:id,ViewEquipmentInspection,AP
/admin/qaqc/:id,ViewQaqcInspection,AP
/admin/leadership/records/:id,FieldLeadershipView,AP
/admin/safety/issuance/:id,ViewSafetyForm,AP
/admin/safety/training/:id,ViewSafetyForm,AP
/pm/login,PmLogin,
/pm/reset/:token,PmResetPassword,
/pm/change-password,PmChangePassword,P
/pm,PmHub,P
/pm/crew-compliance,PmCrewCompliance,P
/pm/jobs,PmJobs,P
/pm/projects/:projectNumber,PmProjectDetail,P
/pm/field-leadership,PmFieldLeadership,P
/pm/fleet,PmFleet,P
/pm/people,PmPeople,P
/pm/suppliers,PmSuppliers,P
/pm/posters,PmPosters,P
/pm/qaqc,PmQaqcList,P
/pm/photos,JobPhotosLibrary,P
/pm/daily,DailyReportsDashboard,AP
/pm/daily/:id,ViewDailyReport,AP
/pm/incidents,IncidentsDashboard,AP
/pm/incidents/:id,ViewIncident,AP
/pm/meetings,MeetingsDashboard,AP
/pm/meetings/:id,ViewMeeting,AP
/pm/inspections,Dashboard,AP
/pm/inspections/:id,ViewInspection,AP
/pm/jha-plans,JhaPlansAdmin,AP
/pm/trench-boxes,TrenchBoxesAdmin,AP
/pm/equipment,EquipmentDashboard,AP
/pm/equipment/:id,ViewEquipmentInspection,AP
/shop/login,ShopLogin,
/shop/reset/:token,ShopResetPassword,
/shop/change-password,ShopChangePassword,S
/shop,ShopHub,S
/shop/fleet,FleetVisibility,S
/shop/equipment,EquipmentDashboard,S
/shop/equipment/:id,ViewEquipmentInspection,S
/hr/login,HrLogin,
/sign-in,SignIn,
/hr/forgot,HrForgotPassword,
/hr/reset/:token,HrResetPassword,
/hr/change-password,HrChangePassword,H
/hr,HrHub,H
/hr/field-leadership,HrFieldLeadership,H
/hr/field-leadership-users,HrFieldLeadershipUsers,H
/hr/employee-accountability,HrEmployeeAccountability,H
/hr/time-verification,HrTimeVerification,H
/hr/time-off,HrTimeOff,H
/hr/payroll-variance,HrPayrollVariance,H
/hr/training-records,HrTrainingRecords,H
/hr/driver-qualification,HrDriverQualificationDashboard,H
/hr/driver-qualification/import,HrDriverQualificationImport,H
/hr/daily-reports,HrDailyReports,H
/hr/daily-reports/:id,HrDailyReportDetail,H
/time-off/public/:token,PublicTimeOff,
/field-leadership/portal/login,FieldLeadershipPortalLogin,
/field-leadership/portal/change-password,FieldLeadershipPortalChangePassword,FL
/field-leadership/portal/dashboard,FieldLeadershipPortalDashboard,FL
/field-leadership/portal,FieldLeadershipPortalDashboard,FL
/field-leadership/portal/driver-qualification,FieldLeadershipDriverQualification,FL
/safety-portal/login,SafetyLogin,
/safety-portal/forgot-password,SafetyForgotPassword,
